中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.253.56.77,443,47.253.56.77,US,Ashburn,中转,153 ms,130 Mbps,16691 kB/s
130.61.97.150,443,2a0b:21c0:100a:1b2:0:78f2:9cae:d04d,DE,Frankfurt,隧道,201 ms,84 Mbps,10752 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,207 ms,120 Mbps,15360 kB/s
8.220.202.59,443,8.220.202.59,KR,Tokyo,中转,130 ms,29 Mbps,3761 kB/s
152.70.62.190,443,2a0b:21c0:1007:ca:0:954a:7a08:d58,DE,Frankfurt,隧道,152 ms,116 Mbps,14848 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,328 Mbps,41984 kB/s
8.219.98.13,443,8.219.98.13,SG,Singapore,中转,233 ms,26 Mbps,3412 kB/s
144.24.78.162,443,144.24.78.162,KR,Tokyo,中转,132 ms,84 Mbps,10854 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,169 ms,76 Mbps,9731 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,65 ms,250 Mbps,32051 kB/s
193.123.235.59,443,193.123.235.59,KR,Tokyo,中转,190 ms,32 Mbps,4141 kB/s
47.243.107.148,443,47.243.107.148,HK,Hong Kong,中转,155 ms,79 Mbps,10137 kB/s
193.123.59.46,443,2606:f240:f00:dd8d:0:a2a7:1bd:de70,US,Frankfurt,隧道,237 ms,90 Mbps,11571 kB/s
141.147.114.253,443,2606:f240:f00:46c4:0:7798:68d4:d135,US,Frankfurt,隧道,229 ms,60 Mbps,7687 kB/s
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,169 ms,66 Mbps,8490 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,73 ms,43 Mbps,5614 kB/s
193.122.1.29,443,2606:f240:f00:2be4:0:1a7f:e97:9a01,US,Frankfurt,隧道,153 ms,99 Mbps,12697 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,90 ms,46 Mbps,5967 kB/s
