中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
47.88.15.127,443.0,47.88.15.127,US,San Jose,中转,56 ms,169 Mbps,21708 kB/s,21708.0
150.230.44.13,443.0,150.230.44.13,US,San Jose,中转,12 ms,148 Mbps,19046 kB/s,19046.0
144.24.80.56,443.0,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,137 ms,147 Mbps,18841 kB/s,18841.0
150.136.240.243,443.0,150.136.240.243,US,Ashburn,中转,71 ms,144 Mbps,18534 kB/s,18534.0
35.201.203.106,443.0,35.201.203.106,TW,Taipei,中转,142 ms,144 Mbps,18534 kB/s,18534.0
152.67.212.141,443.0,152.67.212.141,KR,Seoul,中转,131 ms,136 Mbps,17408 kB/s,17408.0
155.248.202.141,443.0,155.248.202.141,US,San Jose,中转,22 ms,132 Mbps,16896 kB/s,16896.0
158.180.79.198,443.0,158.180.79.198,KR,Seoul,中转,389 ms,123 Mbps,15769 kB/s,15769.0
158.101.209.76,443.0,158.101.209.76,NL,Amsterdam,中转,183 ms,122 Mbps,15667 kB/s,15667.0
150.230.249.48,443.0,150.230.249.48,KR,Seoul,中转,133 ms,120 Mbps,15360 kB/s,15360.0
129.151.244.9,443.0,129.151.244.9,FR,Paris,中转,170 ms,119 Mbps,15257 kB/s,15257.0
129.154.50.159,443.0,129.154.50.159,KR,Seoul,中转,131 ms,117 Mbps,15052 kB/s,15052.0
23.94.217.204,443.0,23.94.217.204,NL,Amsterdam,中转,144 ms,116 Mbps,14950 kB/s,14950.0
18.197.218.69,443.0,18.197.218.69,DE,Frankfurt,中转,158 ms,115 Mbps,14745 kB/s,14745.0
192.9.177.204,443.0,192.9.177.204,AU,Sydney,中转,218 ms,111 Mbps,14233 kB/s,14233.0
18.184.55.249,443.0,18.184.55.249,DE,Frankfurt,中转,161 ms,111 Mbps,14233 kB/s,14233.0
131.186.33.175,443.0,131.186.33.175,JP,Tokyo,中转,168 ms,109 Mbps,14028 kB/s,14028.0
129.150.50.63,443.0,129.150.50.63,SG,Singapore,中转,171 ms,105 Mbps,13516 kB/s,13516.0
141.147.184.160,443.0,141.147.184.160,JP,Tokyo,中转,162 ms,101 Mbps,13004 kB/s,13004.0
