中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
130.162.167.192,443,2a0b:21c0:100a:1b6:0:43f:542d:c1e1,DE,Frankfurt,隧道,107 ms,103 Mbps,13209 kB/s
138.2.135.238,443,2a0b:21c0:1007:cb:0:5553:b23a:4f1f,DE,Frankfurt,隧道,106 ms,183 Mbps,23449 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,101 ms,186 Mbps,23859 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,46 ms,59 Mbps,7575 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,212 ms,60 Mbps,7694 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,212 ms,62 Mbps,8053 kB/s
47.253.86.6,443,47.253.86.6,US,Ashburn,中转,68 ms,308 Mbps,39424 kB/s
158.101.216.83,443,2606:f240:f00:83a7:0:63ba:f6c9:d45e,US,Frankfurt,隧道,106 ms,167 Mbps,21401 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,125 ms,342 Mbps,43827 kB/s
8.211.19.126,443,2a0b:21c0:100a:1b2:0:fc96:3530:89f5,DE,Frankfurt,隧道,107 ms,96 Mbps,12390 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,272 ms,39 Mbps,5040 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Hong Kong,隧道,173 ms,92 Mbps,11878 kB/s
138.2.18.184,443,138.2.18.184,JP,Osaka,中转,218 ms,0 Mbps,94 kB/s
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,217 ms,68 Mbps,8817 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,52 ms,448 Mbps,57446 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,191 ms,216 Mbps,27750 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,211 ms,58 Mbps,7485 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,217 ms,68 Mbps,8744 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,109 ms,99 Mbps,12697 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,210 ms,69 Mbps,8872 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,324 ms,2 Mbps,264 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,45 ms,393 Mbps,50380 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,54 ms,280 Mbps,35840 kB/s
47.57.237.222,443,47.57.237.222,HK,Hong Kong,中转,197 ms,74 Mbps,9480 kB/s
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,208 ms,70 Mbps,9060 kB/s
192.9.132.79,443,104.28.201.73,US,San Jose,隧道,52 ms,381 Mbps,48844 kB/s
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,213 ms,70 Mbps,9000 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,145 ms,53 Mbps,6789 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,128 ms,110 Mbps,14131 kB/s
144.24.189.21,443,144.24.189.21,DE,Frankfurt,中转,106 ms,47 Mbps,6044 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,173 ms,21 Mbps,2815 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,14 ms,71 Mbps,9151 kB/s
158.101.220.220,443,2606:f240:f00:5a42:0:da79:fffe:8b5e,US,Frankfurt,隧道,107 ms,159 Mbps,20377 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,84 ms,33 Mbps,4336 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,108 ms,109 Mbps,14028 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,209 ms,70 Mbps,9051 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,290 ms,60 Mbps,7805 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,302 ms,33 Mbps,4255 kB/s
141.148.244.232,443,2a0b:21c0:100a:1b7:0:d3ec:d7fd:431d,DE,Frankfurt,隧道,105 ms,104 Mbps,13312 kB/s
130.162.182.76,443,130.162.182.76,GB,London,中转,94 ms,205 Mbps,26316 kB/s
129.154.50.159,443,129.154.50.159,KR,Tokyo,中转,173 ms,81 Mbps,10444 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,175 ms,45 Mbps,5861 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,188 ms,29 Mbps,3787 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,290 ms,63 Mbps,8097 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,54 ms,44 Mbps,5728 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,475 ms,6 Mbps,875 kB/s
141.148.243.166,443,2606:f240:f00:83a7:0:4ae7:b486:8a1c,US,Frankfurt,隧道,166 ms,204 Mbps,26112 kB/s
47.245.33.33,443,47.245.33.33,JP,Tokyo,中转,145 ms,35 Mbps,4559 kB/s
