中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,43 ms,5 Mbps,765 kB/s,765.0
8.218.135.92,443,8.218.135.92,HK,Hong Kong,中转,227 ms,5 Mbps,706 kB/s,706.0
47.57.245.232,443,47.89.249.212,US,San Jose,隧道,0 ms,2 Mbps,357 kB/s,357.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,244 ms,2 Mbps,353 kB/s,353.0
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,257 ms,1 Mbps,144 kB/s,144.0
47.57.14.118,443,47.88.1.156,US,San Jose,隧道,227 ms,1 Mbps,136 kB/s,136.0
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,246 ms,0 Mbps,48 kB/s,48.0
47.254.65.110,443,47.254.65.110,US,San Jose,中转,88 ms,0 Mbps,40 kB/s,40.0
130.61.23.77,443,130.61.23.77,112 Mbps,14336 kB/s,,,,,
130.61.23.77,DE,null Mbps,null kB/s,,,,,,
